Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,,,,
3-13-2023 15:44:10,Jamia Milia Islamia,Delhi,,Jamia Milia Islamia,1,,Mother,2,1,1,1,1,5,3,1,2,5,2,,,,4
3-13-2023 15:43:09,Jamia Milia Islamia ,Delhi,,JAMIA MILIA ISLAMIA ,1,,No One,3,1,1,1,1,1,3,1,2,4,1,,,,0
3-13-2023 16:05:43,Hindu college ,Delhi,,HINDU COLLEGE ,2,,No One,2,3,4,2,1,5,3,4,2,5,1,,,,4
3-13-2023 16:06:36,Hindu College ,Delhi,,HINDU COLLEGE ,2,,Father,4,3,4,2,5,5,5,5,3,5,5,,,,0
3-13-2023 16:13:38,Anna University ,Chennai,,ANNA UNIVERSITY ,3,,No One,1,2,2,1,3,5,1,4,3,2,1,,,,2
3-13-2023 16:15:02,Anna University ,Chennai,,ANNA UNIVERSITY ,3,,Sibling,3,2,3,2,5,5,5,5,3,1,3,,,,0
3-2-2023 7:05:17,BITS,Pilani,,BITS,4,,No One,2,4,4,3,4,4,4,4,4,3,3,,,,0
3-2-2023 7:04:01,Bits ,Pilani,,BITS ,4,,Sibling,2,5,4,4,5,5,5,5,5,4,5,,,,0
3-13-2023 17:33:08,BITS ,Pilani,,BITS ,4,,No One,4,5,5,4,4,5,4,4,4,2,5,,,,1
2-25-2023 11:17:38,BITS Pilani,Pilani,,BITS PILANI,4,,No One,4,5,5,5,1,4,4,5,3,1,3,,,,3
2-25-2023 11:20:45,BITS Pilani,Pilani,,BITS PILANI,4,,Father,3,5,4,3,5,5,4,5,4,1,3,,,,0
2-25-2023 11:48:27,BITS Pilani,Pilani,,BITS PILANI,4,,Father,4,5,5,5,5,5,5,5,5,1,4,,,,0
3-3-2023 19:11:14,BITS Pilani,Pilani,,BITS PILANI,4,,Father,2,5,5,5,4,3,4,4,4,4,4,,,,-1
3-3-2023 19:12:05,BITS Pilani,Pilani,,BITS PILANI,4,,No One,3,4,4,5,3,4,4,4,4,3,4,,,,1
3-5-2023 15:50:05,BITS pilani,Pilani,,BITS PILANI,4,,No One,3,4,4,4,4,5,5,4,4,2,5,,,,1
3-13-2023 15:17:33,Bits pilani,Pilani,,BITS PILANI,4,,No One,1,4,4,3,4,4,3,4,5,1,4,,,,0
3-13-2023 19:36:55,BITS PILANI,Pilani,,BITS PILANI,4,,No One,4,4,4,3,5,5,5,4,4,2,5,,,,0
3-13-2023 15:35:38,bits pilani ,Pilani,,BITS PILANI ,4,,No One,3,2,2,2,2,5,3,1,2,1,1,,,,3
3-13-2023 15:44:15,"BITS, Pilani",Pilani,,"BITS, PILANI",4,,Father,2,5,5,5,5,5,5,5,5,5,5,,,,0
2-25-2023 11:23:49,BITS Goa,Sancoale,,BITS GOA,5,,Grandparents,5,4,4,3,5,5,3,4,3,2,4,,,,0
3-3-2023 16:53:05,Bits Goa,Sancoale,,BITS GOA,5,,No One,2,1,3,3,4,4,3,2,4,3,3,,,,0
3-6-2023 14:38:30,BITS goa,Sancoale,,BITS GOA,5,,No One,1,4,4,3,2,3,3,3,5,1,3,,,,1
3-13-2023 15:18:09,BITS Goa,Sancoale,,BITS GOA,5,,No One,4,4,4,3,4,1,4,4,3,2,3,,,,-3
3-13-2023 17:46:45,bits Goa,Sancoale,,BITS GOA,5,,No One,4,3,4,3,4,4,4,3,4,2,4,,,,0
3-13-2023 19:35:52,BITS goa,Sancoale,,BITS GOA,5,,No One,3,3,4,2,3,3,4,3,3,3,4,,,,0
3-13-2023 20:08:53,BITS GOA,Sancoale,,BITS GOA,5,,Sibling,3,3,4,2,4,4,4,3,4,2,4,,,,0
3-13-2023 15:45:04,"BITS, Goa",Sancoale,,"BITS, GOA",5,,Mother,1,5,5,5,5,5,5,5,5,5,5,,,,0
3-13-2023 15:46:06,"BITS, Goa",Sancoale,,"BITS, GOA",5,,Sibling,3,4,5,4,5,4,5,4,4,4,5,,,,-1
2-25-2023 11:22:03,BITS Hyderabad,Hyderabad,,BITS HYDERABAD,6,,No One,3,3,3,2,4,2,3,3,5,5,2,,,,-2
3-3-2023 16:43:33,Bits Hyderabad,Hyderabad,,BITS HYDERABAD,6,,Father,4,3,3,3,4,4,4,3,4,5,3,,,,0
3-6-2023 14:26:18,BITS Hyderabad ,Hyderabad,,BITS HYDERABAD ,6,,No One,4,4,3,3,2,4,4,3,3,4,5,,,,2
3-6-2023 16:40:21,BITS HYDERABAD ,Hyderabad,,BITS HYDERABAD ,6,,No One,4,3,3,3,4,4,5,3,4,4,3,,,,0
3-13-2023 15:18:45,bits Hyderabad ,Hyderabad,,BITS HYDERABAD ,6,,Father,4,2,2,2,3,5,3,3,1,1,2,,,,2
3-13-2023 15:56:39,bits Hyderabad ,Hyderabad,,BITS HYDERABAD ,6,,No One,3,3,3,2,4,4,4,3,4,2,3,,,,0
3-13-2023 19:35:11,BITS HYDERABAD ,Hyderabad,,BITS HYDERABAD ,6,,No One,1,3,3,2,3,4,4,3,3,4,4,,,,1
3-13-2023 20:08:08,BITS HYDERABAD ,Hyderabad,,BITS HYDERABAD ,6,,No One,4,3,3,2,4,5,4,3,4,4,4,,,,1
3-2-2023 7:07:52,COEP,Pune,,COEP,7,,No One,2,3,3,3,5,4,4,3,4,5,4,,,,-1
3-3-2023 16:31:08,Coep,Pune,,COEP,7,,No One,2,3,3,3,5,5,3,3,4,4,4,,,,0
3-10-2023 11:51:02,COEP,Pune,,COEP,7,,No One,2,3,3,3,4,4,2,2,3,5,2,,,,0
3-10-2023 11:51:47,COEP,Pune,,COEP,7,,No One,2,2,3,3,4,3,4,4,4,4,4,,,,-1
3-13-2023 17:18:19,COEP,Pune,,COEP,7,,Father,2,3,3,3,3,4,4,2,4,4,4,,,,1
3-13-2023 19:33:51,COEP,Pune,,COEP,7,,No One,4,5,5,5,5,5,5,5,5,5,5,,,,0
2-27-2023 13:40:26,Hansraj college ,Delhi,,HANSRAJ COLLEGE ,8,,No One,2,2,1,1,2,2,2,1,3,3,4,,,,0
3-13-2023 15:59:20,Hansraj College ,Delhi,,HANSRAJ COLLEGE ,8,,No One,2,4,3,3,3,5,4,5,2,5,4,,,,2
3-13-2023 15:59:55,Hansraj College ,Delhi,,HANSRAJ COLLEGE ,8,,Father,3,2,4,2,5,5,3,4,2,5,5,,,,0
2-27-2023 17:38:13,IISc,Bangalore,,IISC,9,,No One,3,3,2,1,2,4,3,1,4,5,2,,,,2
2-27-2023 17:46:12,IISC,Bangalore,,IISC,9,,No One,2,4,3,2,4,5,3,3,4,5,3,,,,1
3-3-2023 16:16:05,IISc,Bangalore,,IISC,9,,No One,3,3,2,2,3,5,3,3,4,5,2,,,,2
