Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,diff_Q1,diff_Q2,diff_Q3,diff_Q4,diff_Q5,diff_Q6,diff_Q7,diff_Q8,diff_Q9,Educational,Relational,Structural
2-27-2023 18:23:30,iith,Hyderabad,,IITH,14,,No One,1,3,3,2,3,4,3,3,4,4,4,1,1,2,1,0,1,1,0,0,2.67,3.33,3.67
3-13-2023 17:17:56,iith,Hyderabad,,IITH,14,,No One,3,3,3,3,3,3,3,3,4,4,3,0,0,0,0,0,0,0,-1,-1,3.00,3.00,3.67
16-03-2023 08:41,IITH,Hyderabad,,IITH,14,,No One,2,4,4,3,4,4,5,4,5,5,5,1,1,2,1,1,0,1,0,0,3.67,4.33,4.67
16-03-2023 08:42,IITH,Hyderabad,,IITH,14,,No One,2,2,4,3,5,4,5,4,4,4,4,2,0,1,-1,0,-1,0,0,0,3.00,4.67,4.00
03-03-2023 16:27,IIT indore,Indore,,IIT INDORE,15,,No One,2,3,3,4,2,5,4,3,3,3,3,0,0,-1,1,-2,-1,0,0,0,3.33,3.67,3.00
03-03-2023 16:28,IIT indore,Indore,,IIT INDORE,15,,No One,2,3,3,3,4,4,3,3,4,3,4,1,1,1,0,0,1,1,0,1,3.00,3.67,3.33
03-10-2023 01:28,IIT indore,Indore,,IIT INDORE,15,,Father,2,3,4,4,3,4,3,2,2,3,3,0,-1,-1,0,-1,0,1,1,0,3.67,3.33,2.33
03-10-2023 01:28,IIT Indore,Indore,,IIT INDORE,15,,No One,2,4,4,4,2,5,2,2,2,3,1,-3,-3,-3,-1,-4,-1,-1,-1,-2,4.00,3.00,2.33
3-13-2023 15:34:45,IIT Indore,Indore,,IIT INDORE,15,,No One,2,4,3,4,3,3,3,4,4,3,3,-1,0,-1,0,0,0,-1,-1,0,3.67,3.00,3.67
3-13-2023 15:37:00,IIT Indore,Indore,,IIT INDORE,15,,No One,3,4,4,2,4,4,4,4,4,3,4,0,0,2,0,0,0,0,0,1,3.33,4.00,3.67
2-27-2023 10:39:08,IIT Indore ,Indore,,IIT INDORE ,15,,Mother,1,5,2,2,4,5,4,3,1,2,2,-3,0,0,-2,-3,-2,-1,1,0,3.00,4.33,2.00
2-27-2023 10:40:17,IIT Indore ,Indore,,IIT INDORE ,15,,No One,2,3,5,2,3,5,4,3,3,1,5,2,0,3,2,0,1,2,2,4,3.33,4.00,2.33
03-10-2023 01:29,IIT Indore ,Indore,,IIT INDORE ,15,,Father,1,4,4,3,2,5,2,1,4,3,3,-1,-1,0,1,-2,1,2,-1,0,3.67,3.00,2.67
03-10-2023 01:29,IIT Indore ,Indore,,IIT INDORE ,15,,Grandparents,1,3,3,4,4,2,4,4,4,3,4,1,1,0,0,2,0,0,0,1,3.33,3.33,3.67
2-20-2023 11:11:45,IIT INDORR,Indore,,IIT INDORR,15,,No One,2,2,3,2,1,4,3,2,2,3,2,0,-1,0,1,-2,-1,0,0,-1,2.33,2.67,2.33
03-03-2023 16:25,IT Indore,Indore,,IT INDORE,15,,No One,2,3,3,4,4,5,4,4,4,1,4,1,1,0,0,-1,0,0,0,3,3.33,4.33,3.00
3-13-2023 17:41:46,IIT k,Kanpur,,IIT K,16,,Grandparents,4,4,4,3,4,5,3,4,3,2,4,0,0,1,0,-1,1,0,1,2,3.67,4.00,3.00
03-08-2023 03:11,IIT Kanpur,Kanpur,,IIT KANPUR,16,,No One,3,4,4,5,3,5,4,4,4,4,3,-1,-1,-2,0,-2,-1,-1,-1,-1,4.33,4.00,4.00
03-08-2023 03:12,IIT kanpur,Kanpur,,IIT KANPUR,16,,Father,2,4,4,5,4,4,4,5,4,4,4,0,0,-1,0,0,0,-1,0,0,4.33,4.00,4.33
